season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2010-2011,Octavos,Ida,23-02-2011,NULL,NULL,Lyon,Real Madrid,1-1,1-4,Stade Gerland,Lyon,Francia,NULL,NULL,Claude Puel,Jose Mourinho,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gomis 47'; Benzema 65',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,16-03-2011,NULL,NULL,Real Madrid,Lyon,3-0,4-1,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Claude Puel,NULL,NULL,28,20,8,13,10,3,NULL,NULL,NULL,NULL,NULL,55%,45%,30,12,18,13,9,4
2010-2011,Cuartos,Ida,05-04-2011,NULL,NULL,Real Madrid,Tottenham,4-0,5-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Harry Redknapp,NULL,NULL,40,36,4,11,10,1,NULL,NULL,NULL,NULL,NULL,72%,28%,20,10,10,12,9,3
2010-2011,Cuartos,Vuelta,13-04-2011,NULL,NULL,Tottenham,Real Madrid,0-1,0-5,White Hart Lane,Londres,Inglaterra,NULL,NULL,Harry Redknapp,Jose Mourinho,NULL,NULL,29,17,12,6,2,4,NULL,NULL,NULL,NULL,NULL,44%,56%,22,9,13,9,4,5
2010-2011,Cuartos,Ida,05-04-2011,NULL,NULL,Inter,Schalke 04,2-5,3-7,San Siro,Milan,Italia,NULL,NULL,Leonardo,Ralf Rangnick,NULL,NULL,35,18,17,17,6,11,NULL,NULL,NULL,NULL,NULL,53%,47%,27,8,19,8,4,4
2010-2011,Cuartos,Vuelta,13-04-2011,NULL,NULL,Schalke 04,Inter,2-1,7-3,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Ralf Rangnick,Leonardo,NULL,NULL,27,8,19,8,3,5,NULL,NULL,NULL,NULL,NULL,37%,63%,38,26,12,19,7,12
2010-2011,Cuartos,Ida,06-04-2011,NULL,NULL,Barcelona,Shakhtar,5-1,6-1,Camp Nou,Barcelona,España,NULL,NULL,Pep Guardiola,Mircea Lucescu,NULL,NULL,24,19,5,11,10,1,NULL,NULL,NULL,NULL,NULL,70%,30%,29,9,20,7,4,3
2010-2011,Cuartos,Vuelta,12-04-2011,NULL,NULL,Shakhtar,Barcelona,0-1,1-6,Donbass Arena,Donetsk,Ucrania,NULL,NULL,Mircea Lucescu,Pep Guardiola,NULL,NULL,27,11,16,12,5,7,NULL,NULL,NULL,NULL,NULL,33%,67%,39,22,17,9,5,4
2010-2011,Cuartos,Ida,06-04-2011,NULL,NULL,Chelsea,Manchester United,0-1,1-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Carlo Ancelotti,Alex Ferguson,NULL,NULL,29,21,8,9,7,2,NULL,NULL,NULL,NULL,NULL,57%,43%,32,15,17,8,3,5
2010-2011,Cuartos,Vuelta,12-04-2011,NULL,NULL,Manchester United,Chelsea,2-1,3-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Carlo Ancelotti,NULL,NULL,28,10,18,10,6,4,NULL,NULL,NULL,NULL,NULL,55%,45%,31,13,18,9,7,2
2010-2011,Semifinal,Ida,26-04-2011,NULL,NULL,Real Madrid,Barcelona,0-2,1-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Pep Guardiola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Messi 76'; 87',NULL,NULL,NULL,Pepe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Vuelta,03-05-2011,NULL,NULL,Barcelona,Real Madrid,1-1,3-1,Camp Nou,Barcelona,España,NULL,NULL,Pep Guardiola,Jose Mourinho,NULL,NULL,16,12,4,7,6,1,NULL,NULL,NULL,NULL,NULL,69%,31%,40,10,30,5,3,2
2010-2011,Semifinal,Ida,26-04-2011,NULL,NULL,Schalke 04,Manchester United,0-2,1-6,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Ralf Rangnick,Alex Ferguson,NULL,NULL,29,10,19,15,5,10,NULL,NULL,NULL,NULL,NULL,33%,67%,27,12,15,9,3,6
2010-2011,Semifinal,Vuelta,04-05-2011,NULL,NULL,Manchester United,Schalke 04,4-1,6-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Ralf Rangnick,NULL,NULL,25,10,15,12,8,4,NULL,NULL,NULL,NULL,NULL,46%,54%,28,13,15,23,13,10
2010-2011,Final,Final,28-05-2011,NULL,NULL,Barcelona,Manchester United,3-1,NULL,Wembley,Londres,Inglaterra,NULL,NULL,Pep Guardiola,Alex Ferguson,NULL,NULL,26,22,4,13,12,1,NULL,NULL,NULL,NULL,NULL,68%,32%,21,5,16,6,6,0
2011-2012,Octavos,Ida,14-02-2012,NULL,NULL,Bayer Leverkusen,Barcelona,1-3,2-10,BayArena,Leverkusen,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,19,8,11,9,4,5,NULL,NULL,NULL,NULL,NULL,25%,75%,23,14,9,7,0,7
2011-2012,Octavos,Vuelta,07-03-2012,NULL,NULL,Barcelona,Bayer Leverkusen,7-1,10-2,Camp Nou,Barcelona,España,NULL,NULL,NULL,NULL,NULL,NULL,25,18,7,11,10,1,NULL,NULL,NULL,NULL,NULL,77%,23%,19,8,11,7,6,1
2011-2012,Octavos,Ida,15-02-2012,NULL,NULL,AC Milan,Arsenal,4-0,4-3,San Siro,Milán,Italia,NULL,NULL,NULL,NULL,NULL,NULL,26,18,8,9,5,4,NULL,NULL,NULL,NULL,NULL,43%,57%,22,12,10,11,5,6
2011-2012,Octavos,Vuelta,06-03-2012,NULL,NULL,Arsenal,AC Milan,3-0,3-4,Emirates Stadium,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,22,9,13,12,7,5,NULL,NULL,NULL,NULL,NULL,45%,55%,29,21,8,6,5,1
2011-2012,Octavos,Ida,14-02-2012,NULL,NULL,Lyon,APOEL,1-0,1-1,Stade Gerland,Lyon,Francia,NULL,NULL,NULL,NULL,NULL,NULL,19,18,1,6,5,1,NULL,NULL,NULL,NULL,NULL,64%,36%,27,15,12,11,7,4
2011-2012,Octavos,Vuelta,07-03-2012,NULL,NULL,APOEL,Lyon,1-0 (P),1-1,GSP Stadium,Nicosia,Chipre,NULL,NULL,NULL,NULL,NULL,NULL,35,13,22,8,3,5,NULL,NULL,NULL,NULL,NULL,46%,54%,47,20,27,13,2,11
2011-2012,Octavos,Ida,15-02-2012,NULL,NULL,Zenit,Benfica,3-2,3-4,Petrovsky Stadium,San Petersburgo,Rusia,NULL,NULL,NULL,NULL,NULL,NULL,24,12,12,12,5,7,NULL,NULL,NULL,NULL,NULL,54%,46%,27,15,12,7,5,2
2011-2012,Octavos,Vuelta,06-03-2012,NULL,NULL,Benfica,Zenit,2-0,4-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,NULL,NULL,NULL,NULL,26,20,6,7,5,2,NULL,NULL,NULL,NULL,NULL,43%,57%,24,11,13,4,4,0
2011-2012,Octavos,Ida,21-02-2012,NULL,NULL,CSKA Moscow,Real Madrid,1-1,2-5,Luzhniki Stadium,Moscú,Rusia,NULL,NULL,NULL,NULL,NULL,NULL,24,9,15,12,4,8,NULL,NULL,NULL,NULL,NULL,46%,54%,25,15,10,9,1,8
2011-2012,Octavos,Vuelta,14-03-2012,NULL,NULL,Real Madrid,CSKA Moscow,4-1,5-2,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,NULL,NULL,NULL,22,15,7,10,7,3,NULL,NULL,NULL,NULL,NULL,63%,37%,31,13,18,7,4,3
2011-2012,Octavos,Ida,21-02-2012,NULL,NULL,Napoli,Chelsea,3-1,4-5,Stadio San Paolo,Napoles,Italia,NULL,NULL,NULL,NULL,NULL,NULL,29,15,14,12,7,5,NULL,NULL,NULL,NULL,NULL,42%,58%,25,7,18,8,4,4
2011-2012,Octavos,Vuelta,14-03-2012,NULL,NULL,Chelsea,Napoli,4-1 (AET),5-4,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,45,22,23,13,8,5,NULL,NULL,NULL,NULL,NULL,56%,44%,46,23,23,20,12,8
2011-2012,Octavos,Ida,22-02-2012,NULL,NULL,Marseille,Inter,1-0,2-2,Stade Velodrome,Marseille,Francia,NULL,NULL,NULL,NULL,NULL,NULL,25,17,8,8,4,4,NULL,NULL,NULL,NULL,NULL,59%,41%,39,18,21,6,5,1
2011-2012,Octavos,Vuelta,13-03-2012,NULL,NULL,Inter,Marseille,2-1,2-2,San Siro,Milán,Italia,NULL,NULL,NULL,NULL,NULL,NULL,23,13,10,10,6,4,NULL,NULL,NULL,NULL,NULL,48%,52%,40,24,16,11,7,4
2011-2012,Octavos,Ida,22-02-2012,NULL,NULL,Basel,Bayern Munich,1-0,1-7,St. Jakob-Park,Basilea,Suiza,NULL,NULL,NULL,NULL,NULL,NULL,29,8,21,13,6,7,NULL,NULL,NULL,NULL,NULL,39%,61%,19,6,13,11,6,5
2011-2012,Octavos,Vuelta,13-03-2012,NULL,NULL,Bayern Munich,Basel,7-0,7-1,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0%,0%,0,0,0,0,0,0
2011-2012,Cuartos,Ida,27-03-2012,NULL,NULL,APOEL,Real Madrid,0-3,2-8,GSP Stadium,Nicosia,Chipre,NULL,NULL,NULL,NULL,NULL,NULL,28,0,28,8,0,8,NULL,NULL,NULL,NULL,NULL,22%,78%,24,13,11,5,1,4
2011-2012,Cuartos,Vuelta,04-04-2012,NULL,NULL,Real Madrid,APOEL,5-2,8-2,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,NULL,NULL,NULL,30,21,9,11,8,3,NULL,NULL,NULL,NULL,NULL,70%,30%,21,10,11,9,6,3
2011-2012,Cuartos,Ida,27-03-2012,NULL,NULL,Benfica,Chelsea,0-1,1-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,NULL,NULL,NULL,NULL,37,25,12,11,8,3,NULL,NULL,NULL,NULL,NULL,56%,44%,26,9,17,12,8,4
2011-2012,Cuartos,Vuelta,04-04-2012,NULL,NULL,Chelsea,Benfica,2-1,3-1,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,39,17,22,13,4,9,NULL,NULL,NULL,NULL,NULL,49%,51%,27,16,11,9,4,5
2011-2012,Cuartos,Ida,28-03-2012,NULL,NULL,AC Milan,Barcelona,0-0,1-3,San Siro,Milán,Italia,NULL,NULL,NULL,NULL,NULL,NULL,24,6,18,6,3,3,NULL,NULL,NULL,NULL,NULL,35%,65%,23,14,9,2,0,2
2011-2012,Cuartos,Vuelta,03-04-2012,NULL,NULL,Barcelona,AC Milan,3-1,3-1,Camp Nou,Barcelona,España,NULL,NULL,NULL,NULL,NULL,NULL,24,21,3,9,8,1,NULL,NULL,NULL,NULL,NULL,62%,38%,28,9,19,6,2,4
2011-2012,Cuartos,Ida,28-03-2012,NULL,NULL,Marseille,Bayern Munich,0-2,0-4,Stade Velodrome,Marseille,Francia,NULL,NULL,NULL,NULL,NULL,NULL,16,10,6,7,4,3,NULL,NULL,NULL,NULL,NULL,42%,58%,35,18,17,12,6,6
2011-2012,Cuartos,Vuelta,03-04-2012,NULL,NULL,Bayern Munich,Marseille,2-0,4-0,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,26,17,9,10,7,3,NULL,NULL,NULL,NULL,NULL,50%,50%,18,8,10,11,9,2
2011-2012,Semifinal,Ida,17-04-2012,NULL,NULL,Bayern Munich,Real Madrid,2-1,3-3,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,30,15,15,10,4,6,NULL,NULL,NULL,NULL,NULL,55%,45%,34,20,14,10,6,4
2011-2012,Semifinal,Vuelta,25-04-2012,NULL,NULL,Real Madrid,Bayern Munich,2-1 (P),3-3,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,NULL,NULL,NULL,35,15,20,12,6,6,NULL,NULL,NULL,NULL,NULL,45%,55%,39,12,27,10,5,5
2011-2012,Semifinal,Ida,18-04-2012,NULL,NULL,Chelsea,Barcelona,1-0,3-2,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,28,4,24,7,1,6,NULL,NULL,NULL,NULL,NULL,21%,79%,21,12,9,9,1,8
2011-2012,Semifinal,Vuelta,24-04-2012,NULL,NULL,Barcelona,Chelsea,2-2,2-3,Camp Nou,Barcelona,España,NULL,NULL,NULL,NULL,NULL,NULL,30,23,7,9,6,3,NULL,NULL,NULL,NULL,NULL,82%,18%,18,8,10,11,10,1
2011-2012,Final,Final,19-05-2012,NULL,NULL,Bayern Munich,Chelsea,1-1 (P),NULL,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,52,43,9,10,7,3,NULL,NULL,NULL,NULL,NULL,56%,44%,40,14,26,21,20,1
2012-2013,Octavos,Ida,12-02-2013,NULL,NULL,Celtic,Juventus,0-3,0-5,Celtic Park,Glasgow,Escocia,NULL,NULL,Neil Lennon,Antonio Conte,NULL,NULL,27,17,10,11,7,4,NULL,NULL,NULL,NULL,NULL,53%,47%,24,12,12,14,10,4
2012-2013,Octavos,Vuelta,06-03-2013,NULL,NULL,Juventus,Celtic,2-0,5-0,Juventus Stadium,Turin,Italia,NULL,NULL,Antonio Conte,Neil Lennon,NULL,NULL,23,8,15,10,5,5,NULL,NULL,NULL,NULL,NULL,44%,56%,29,14,15,4,1,3
2012-2013,Octavos,Ida,12-02-2013,NULL,NULL,Valencia,PSG,1-2,2-3,Mestalla,Valencia,España,NULL,NULL,Ernesto Valverde,Carlo Ancelotti,NULL,NULL,25,12,13,10,2,8,NULL,NULL,NULL,NULL,NULL,66%,34%,23,13,10,8,8,0
2012-2013,Octavos,Vuelta,06-03-2013,NULL,NULL,PSG,Valencia,1-1,3-2,Parc des Princes,Paris,Francia,NULL,NULL,Carlo Ancelotti,Ernesto Valverde,NULL,NULL,19,11,8,6,3,3,NULL,NULL,NULL,NULL,NULL,36%,64%,30,11,19,17,4,13
2012-2013,Octavos,Ida,13-02-2013,NULL,NULL,Real Madrid,Manchester United,1-1,3-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Alex Ferguson,NULL,NULL,41,28,13,14,8,6,NULL,NULL,NULL,NULL,NULL,61%,39%,26,14,12,21,12,9
2012-2013,Octavos,Vuelta,05-03-2013,NULL,NULL,Manchester United,Real Madrid,1-2,2-3,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Jose Mourinho,NULL,NULL,41,19,22,17,7,10,NULL,NULL,NULL,NULL,NULL,37%,63%,19,7,12,21,9,12
2012-2013,Octavos,Ida,13-02-2013,NULL,NULL,Shakhtar,Barcelona,2-2,2-4,Donbass Arena,Donetsk,Ucrania,NULL,NULL,Mircea Lucescu,Tito Vilanova,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Teixeira 2'; Srna 59'; Sanchez 9'; Messi 60',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,12-03-2013,NULL,NULL,Barcelona,Shakhtar,4-0,4-3,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Mircea Lucescu,NULL,NULL,23,14,9,9,7,2,NULL,NULL,NULL,NULL,NULL,67%,33%,25,6,19,9,6,3
2012-2013,Octavos,Ida,19-02-2013,NULL,NULL,Porto,Malaga,1-0,1-2,Estadio do Dragao,Porto,Portugal,NULL,NULL,Vitor Pereira,Manuel Pellegrini,NULL,NULL,20,18,2,5,5,0,NULL,NULL,NULL,NULL,NULL,63%,37%,29,13,16,13,11,2
2012-2013,Octavos,Vuelta,13-03-2013,NULL,NULL,Malaga,Porto,2-0,2-1,La Rosaleda,Malaga,España,NULL,NULL,Manuel Pellegrini,Vitor Pereira,NULL,NULL,19,10,9,6,5,1,NULL,NULL,NULL,NULL,NULL,51%,49%,33,16,17,10,8,2
2012-2013,Octavos,Ida,19-02-2013,NULL,NULL,Arsenal,Bayern Munich,1-3,3-3,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Jupp Heynckes,NULL,NULL,27,10,17,9,3,6,NULL,NULL,NULL,NULL,NULL,58%,42%,33,14,19,10,2,8
2012-2013,Octavos,Vuelta,13-03-2013,NULL,NULL,Bayern Munich,Arsenal,0-2,3-3,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Arsene Wenger,NULL,NULL,28,23,5,7,5,2,NULL,NULL,NULL,NULL,NULL,55%,45%,38,13,25,7,6,1
2012-2013,Octavos,Ida,20-02-2013,NULL,NULL,AC Milan,Barcelona,2-0,2-4,San Siro,Milán,Italia,NULL,NULL,Massimiliano Allegri,Tito Vilanova,NULL,NULL,15,8,7,4,3,1,NULL,NULL,NULL,NULL,NULL,28%,72%,26,16,10,7,3,4
2012-2013,Octavos,Vuelta,12-03-2013,NULL,NULL,Barcelona,AC Milan,4-0,4-2,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Massimiliano Allegri,NULL,NULL,23,14,9,9,7,2,NULL,NULL,NULL,NULL,NULL,67%,33%,25,6,19,9,6,3
2012-2013,Octavos,Ida,20-02-2013,NULL,NULL,Galatasaray,Schalke 04,1-1,3-4,Turk Telekom Arena,Estambul,Turquia,NULL,NULL,Fatih Terim,Jens Keller,NULL,NULL,27,12,15,8,6,2,NULL,NULL,NULL,NULL,NULL,43%,57%,33,14,19,9,3,6
2012-2013,Octavos,Vuelta,12-03-2013,NULL,NULL,Schalke 04,Galatasaray,2-3,4-3,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Jens Keller,Fatih Terim,NULL,NULL,41,26,15,20,12,8,NULL,NULL,NULL,NULL,NULL,60%,40%,31,19,12,12,9,3
2012-2013,Cuartos,Ida,02-04-2013,NULL,NULL,PSG,Barcelona,2-2,3-3,Parc des Princes,Paris,Francia,NULL,NULL,Carlo Ancelotti,Tito Vilanova,NULL,NULL,29,14,15,10,5,5,NULL,NULL,NULL,NULL,NULL,32%,68%,26,13,13,11,4,7
2012-2013,Cuartos,Vuelta,10-04-2013,NULL,NULL,Barcelona,PSG,1-1,3-3,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Carlo Ancelotti,NULL,NULL,39,23,16,10,2,8,NULL,NULL,NULL,NULL,NULL,63%,37%,27,11,16,12,7,5
2012-2013,Cuartos,Ida,02-04-2013,NULL,NULL,Bayern Munich,Juventus,2-0,4-0,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Antonio Conte,NULL,NULL,31,23,8,11,9,2,NULL,NULL,NULL,NULL,NULL,55%,45%,33,16,17,12,8,4
2012-2013,Cuartos,Vuelta,10-04-2013,NULL,NULL,Juventus,Bayern Munich,0-2,0-4,Juventus Stadium,Turin,Italia,NULL,NULL,Antonio Conte,Jupp Heynckes,NULL,NULL,31,12,19,10,3,7,NULL,NULL,NULL,NULL,NULL,42%,58%,29,13,16,10,3,7
2012-2013,Cuartos,Ida,03-04-2013,NULL,NULL,Malaga,Borussia Dortmund,0-0,2-3,La Rosaleda,Malaga,España,NULL,NULL,Manuel Pellegrini,Jurgen Klopp,NULL,NULL,23,10,13,9,3,6,NULL,NULL,NULL,NULL,NULL,50%,50%,23,9,14,6,4,2
2012-2013,Cuartos,Vuelta,09-04-2013,NULL,NULL,Borussia Dortmund,Malaga,3-2,3-2,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Manuel Pellegrini,NULL,NULL,24,16,8,14,9,5,NULL,NULL,NULL,NULL,NULL,62%,38%,25,12,13,9,7,2
2012-2013,Cuartos,Ida,03-04-2013,NULL,NULL,Real Madrid,Galatasaray,3-0,5-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Fatih Terim,NULL,NULL,29,15,14,11,7,4,NULL,NULL,NULL,NULL,NULL,50%,50%,35,16,19,6,2,4
2012-2013,Cuartos,Vuelta,09-04-2013,NULL,NULL,Galatasaray,Real Madrid,3-2,3-5,Turk Telekom Arena,Estambul,Turquia,NULL,NULL,Fatih Terim,Jose Mourinho,NULL,NULL,22,13,9,10,5,5,NULL,NULL,NULL,NULL,NULL,57%,43%,36,21,15,7,4,3
2012-2013,Semifinal,Ida,23-04-2013,NULL,NULL,Bayern Munich,Barcelona,4-0,7-0,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Tito Vilanova,NULL,NULL,19,15,4,8,7,1,NULL,NULL,NULL,NULL,NULL,34%,66%,26,16,10,15,11,4
2012-2013,Semifinal,Vuelta,01-05-2013,NULL,NULL,Barcelona,Bayern Munich,0-3,0-7,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Jupp Heynckes,NULL,NULL,23,15,8,6,4,2,NULL,NULL,NULL,NULL,NULL,60%,40%,26,13,13,4,4,0
2012-2013,Semifinal,Ida,24-04-2013,NULL,NULL,Borussia Dortmund,Real Madrid,4-1,4-3,Signal Iduna Park,Dortmund,Alemania,NULL,NULL,Jurgen Klopp,Jose Mourinho,NULL,NULL,23,14,9,11,7,4,NULL,NULL,NULL,NULL,NULL,44%,56%,26,12,14,6,4,2
2012-2013,Semifinal,Vuelta,30-04-2013,NULL,NULL,Real Madrid,Borussia Dortmund,2-0,3-4,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Jurgen Klopp,NULL,NULL,32,23,9,10,7,3,NULL,NULL,NULL,NULL,NULL,65%,35%,33,14,19,13,10,3
