season,country,coefficient_5yr,rank,teams
2009-2010,Armenia,2.999,45,4
2009-2010,Wales,2.581,46,4
2009-2010,Montenegro,2.125,47,4
2009-2010,Faroe Islands,1.832,48,4
2009-2010,Northern Ireland,1.624,49,4
2009-2010,Luxembourg,1.249,50,4
2009-2010,Andorra,1.0,51,2
2009-2010,Malta,0.916,52,4
2009-2010,San Marino,0.75,53,2
2010-2011,England,85.785,1,7
2010-2011,Spain,82.329,2,7
2010-2011,Germany,69.436,3,6
2010-2011,Italy,60.552,4,7
2010-2011,France,53.678,5,6
2010-2011,Portugal,51.596,6,5
2010-2011,Russia,44.707,7,6
2010-2011,Ukraine,43.883,8,6
2010-2011,Netherlands,40.129,9,6
2010-2011,Turkey,35.05,10,5
2010-2011,Greece,34.166,11,5
2010-2011,Denmark,30.55,12,5
2010-2011,Belgium,27.0,13,5
2010-2011,Romania,25.824,14,6
2010-2011,Scotland,25.141,15,5
2010-2011,Switzerland,24.9,16,5
2010-2011,Israel,22.0,17,4
2010-2011,Czech Republic,20.85,18,4
2010-2011,Austria,20.7,19,4
2010-2011,Cyprus,18.124,20,4
2010-2011,Bulgaria,17.875,21,4
2010-2011,Croatia,16.124,22,4
2010-2011,Belarus,16.083,23,4
2010-2011,Poland,15.916,24,4
2010-2011,Slovakia,14.499,25,4
2010-2011,Norway,14.375,26,4
2010-2011,Serbia,14.25,27,4
2010-2011,Sweden,14.125,28,5
2010-2011,Bosnia-Herzegovina,9.124,29,4
2010-2011,Finland,8.966,30,5
2010-2011,Ireland,8.708,31,4
2010-2011,Hungary,8.5,32,4
2010-2011,Moldova,7.749,33,4
2010-2011,Lithuania,7.708,34,4
2010-2011,Latvia,7.415,35,4
2010-2011,Georgia,6.957,36,4
2010-2011,Azerbaijan,6.165,37,4
2010-2011,Slovenia,6.124,38,4
2010-2011,North Macedonia,5.207,39,4
2010-2011,Iceland,4.957,40,4
2010-2011,Kazakhstan,4.374,41,4
2010-2011,Liechtenstein,4.0,42,1
2010-2011,Montenegro,3.875,43,4
2010-2011,Albania,3.874,44,4
2010-2011,Estonia,3.791,45,4
2010-2011,Wales,2.79,46,4
2010-2011,Armenia,2.583,47,4
2010-2011,Malta,2.416,48,3
2010-2011,Northern Ireland,2.249,49,4
2010-2011,Faroe Islands,1.416,50,4
2010-2011,Luxembourg,1.374,51,4
2010-2011,Andorra,1.0,52,4
2010-2011,San Marino,0.916,53,3
2011-2012,England,84.41,1,8
2011-2012,Spain,84.186,2,7
2011-2012,Germany,75.186,3,6
2011-2012,Italy,59.981,4,7
2011-2012,Portugal,55.346,5,6
2011-2012,France,54.178,6,6
2011-2012,Russia,47.832,7,6
2011-2012,Netherlands,45.515,8,5
2011-2012,Ukraine,45.133,9,6
2011-2012,Greece,37.1,10,5
2011-2012,Turkey,34.05,11,5
2011-2012,Belgium,32.4,12,5
2011-2012,Denmark,27.525,13,5
2011-2012,Switzerland,26.8,14,5
2011-2012,Austria,26.325,15,4
2011-2012,Cyprus,25.499,16,4
2011-2012,Israel,22.0,17,4
2011-2012,Scotland,21.141,18,4
2011-2012,Czech Republic,20.35,19,4
2011-2012,Poland,19.916,20,4
2011-2012,Croatia,18.874,21,4
2011-2012,Romania,18.824,22,6
2011-2012,Belarus,18.208,23,4
2011-2012,Sweden,15.9,24,5
2011-2012,Slovakia,14.874,25,4
2011-2012,Norway,14.675,26,5
2011-2012,Serbia,14.25,27,4
2011-2012,Bulgaria,14.25,28,4
2011-2012,Hungary,9.75,29,4
2011-2012,Finland,9.133,30,4
2011-2012,Georgia,8.666,31,4
2011-2012,Bosnia-Herzegovina,8.416,32,4
2011-2012,Ireland,7.375,33,4
2011-2012,Slovenia,7.124,34,4
2011-2012,Lithuania,6.875,35,4
2011-2012,Moldova,6.749,36,4
2011-2012,Azerbaijan,6.207,37,4
2011-2012,Latvia,5.874,38,4
2011-2012,North Macedonia,5.666,39,4
2011-2012,Kazakhstan,5.333,40,4
2011-2012,Iceland,5.332,41,4
2011-2012,Montenegro,4.375,42,4
2011-2012,Liechtenstein,4.0,43,1
2011-2012,Albania,3.916,44,4
2011-2012,Malta,3.083,45,3
2011-2012,Wales,2.749,46,4
2011-2012,Estonia,2.666,47,4
2011-2012,Northern Ireland,2.583,48,4
2011-2012,Luxembourg,2.333,49,4
2011-2012,Armenia,2.208,50,4
2011-2012,Faroe Islands,1.416,51,4
2011-2012,Andorra,1.0,52,4
2011-2012,San Marino,0.916,53,3
2012-2013,Spain,88.025,1,7
2012-2013,England,82.963,2,7
2012-2013,Germany,79.614,3,7
2012-2013,Italy,64.147,4,6
2012-2013,Portugal,59.168,5,6
2012-2013,France,59.0,6,6
2012-2013,Ukraine,49.758,7,6
2012-2013,Russia,46.332,8,6
2012-2013,Netherlands,44.729,9,7
2012-2013,Turkey,34.5,10,5
2012-2013,Belgium,34.4,11,5
2012-2013,Greece,34.0,12,5
2012-2013,Switzerland,28.925,13,4
2012-2013,Cyprus,26.833,14,4
2012-2013,Denmark,25.7,15,5
2012-2013,Austria,25.375,16,4
2012-2013,Czech Republic,23.725,17,4
2012-2013,Romania,23.024,18,5
2012-2013,Israel,22.875,19,4
2012-2013,Belarus,20.875,20,4
2012-2013,Poland,20.75,21,4
2012-2013,Croatia,19.583,22,4
2012-2013,Sweden,15.625,23,4
2012-2013,Scotland,15.191,24,5
2012-2013,Serbia,14.625,25,4
2012-2013,Slovakia,14.208,26,4
2012-2013,Norway,14.175,27,5
2012-2013,Bulgaria,12.25,28,4
2012-2013,Hungary,11.75,29,4
2012-2013,Slovenia,9.708,30,4
2012-2013,Georgia,9.166,31,4
2012-2013,Azerbaijan,8.541,32,4
2012-2013,Finland,8.508,33,5
2012-2013,Bosnia-Herzegovina,7.833,34,4
2012-2013,Moldova,7.666,35,4
2012-2013,Ireland,7.375,36,4
2012-2013,Lithuania,6.5,37,4
2012-2013,Kazakhstan,5.958,38,4
2012-2013,Latvia,5.791,39,4
2012-2013,Iceland,5.416,40,4
2012-2013,Montenegro,5.25,41,4
2012-2013,North Macedonia,5.25,42,4
2012-2013,Albania,4.166,43,4
2012-2013,Malta,3.958,44,4
2012-2013,Liechtenstein,3.5,45,1
2012-2013,Luxembourg,3.375,46,4
2012-2013,Northern Ireland,3.083,47,4
2012-2013,Wales,2.583,48,4
2012-2013,Estonia,2.208,49,4
2012-2013,Armenia,1.75,50,4
2012-2013,Faroe Islands,1.583,51,4
2012-2013,San Marino,0.666,52,3
2012-2013,Andorra,0.5,53,3
2013-2014,Spain,97.713,1,7
2013-2014,England,84.748,2,7
2013-2014,Germany,81.641,3,7
2013-2014,Italy,66.938,4,6
2013-2014,Portugal,62.299,5,6
2013-2014,France,56.5,6,6
2013-2014,Russia,46.998,7,6
2013-2014,Netherlands,44.312,8,6
2013-2014,Ukraine,40.966,9,6
2013-2014,Belgium,36.3,10,5
2013-2014,Turkey,34.2,11,5
2013-2014,Greece,33.6,12,5
2013-2014,Switzerland,33.225,13,5
2013-2014,Austria,30.925,14,5
2013-2014,Czech Republic,29.35,15,4
2013-2014,Romania,27.257,16,4
2013-2014,Israel,26.875,17,4
2013-2014,Cyprus,23.25,18,4
2013-2014,Denmark,21.3,19,5
2013-2014,Croatia,19.625,20,4
2013-2014,Poland,18.875,21,4
2013-2014,Belarus,18.625,22,4
2013-2014,Scotland,16.566,23,4
2013-2014,Sweden,16.325,24,5
2013-2014,Bulgaria,15.625,25,4
2013-2014,Norway,14.275,26,5
2013-2014,Serbia,14.125,27,4
2013-2014,Hungary,11.625,28,4
2013-2014,Slovenia,11.0,29,4
2013-2014,Slovakia,11.0,30,4
2013-2014,Moldova,10.375,31,4
2013-2014,Azerbaijan,10.375,32,4
2013-2014,Georgia,9.875,33,4
2013-2014,Kazakhstan,8.25,34,4
2013-2014,Bosnia-Herzegovina,7.5,35,4
2013-2014,Finland,7.175,36,5
2013-2014,Iceland,6.75,37,4
2013-2014,Latvia,6.25,38,4
2013-2014,Montenegro,6.0,39,4
2013-2014,Albania,5.5,40,4
2013-2014,Lithuania,5.25,41,4
2013-2014,North Macedonia,5.25,42,4
2013-2014,Ireland,5.125,43,4
2013-2014,Luxembourg,4.875,44,4
2013-2014,Malta,4.833,45,4
2013-2014,Liechtenstein,4.5,46,1
2013-2014,Northern Ireland,3.625,47,4
2013-2014,Wales,3.0,48,4
2013-2014,Armenia,2.875,49,4
2013-2014,Estonia,2.875,50,4
2013-2014,Faroe Islands,2.125,51,4
2013-2014,San Marino,0.999,52,3
2013-2014,Andorra,0.833,53,3
2014-2015,Spain,99.999,1,7
2014-2015,England,80.391,2,7
2014-2015,Germany,79.415,3,7
2014-2015,Italy,70.51,4,6
2014-2015,Portugal,61.382,5,6
2014-2015,France,52.416,6,6
2014-2015,Russia,50.498,7,6
2014-2015,Ukraine,45.166,8,6
2014-2015,Netherlands,40.979,9,6
2014-2015,Belgium,37.2,10,5
2014-2015,Switzerland,34.375,11,5
2014-2015,Turkey,32.6,12,5
2014-2015,Greece,31.9,13,5
2014-2015,Czech Republic,29.125,14,4
2014-2015,Romania,26.299,15,4
2014-2015,Austria,25.675,16,4
2014-2015,Croatia,23.5,17,4
2014-2015,Cyprus,22.3,18,5
2014-2015,Poland,21.5,19,4
2014-2015,Israel,21.0,20,4
2014-2015,Belarus,20.75,21,4
2014-2015,Denmark,19.8,22,5
2014-2015,Scotland,17.9,23,4
2014-2015,Sweden,17.725,24,5
2014-2015,Bulgaria,16.75,25,4
2014-2015,Norway,14.375,26,5
2014-2015,Serbia,13.875,27,4
2014-2015,Slovenia,13.625,28,4
2014-2015,Azerbaijan,12.5,29,4
2014-2015,Slovakia,11.25,30,4
2014-2015,Hungary,11.0,31,4
2014-2015,Kazakhstan,10.375,32,4
2014-2015,Moldova,10.0,33,4
2014-2015,Georgia,9.375,34,4
2014-2015,Finland,8.2,35,5
2014-2015,Iceland,8.0,36,4
2014-2015,Bosnia-Herzegovina,7.5,37,4
2014-2015,Liechtenstein,6.0,38,1
2014-2015,North Macedonia,5.875,39,4
2014-2015,Ireland,5.75,40,4
2014-2015,Montenegro,5.625,41,4
2014-2015,Albania,5.375,42,4
2014-2015,Luxembourg,5.125,43,4
2014-2015,Northern Ireland,4.875,44,4
2014-2015,Lithuania,4.5,45,4
2014-2015,Latvia,4.25,46,4
2014-2015,Malta,4.208,47,4
2014-2015,Estonia,3.5,48,4
2014-2015,Faroe Islands,3.5,49,4
2014-2015,Wales,2.875,50,4
2014-2015,Armenia,2.75,51,4
2014-2015,Andorra,0.833,52,3
2014-2015,San Marino,0.499,53,3
2014-2015,Gibraltar,0.25,54,2
2015-2016,Spain,105.713,1,7
2015-2016,Germany,80.177,2,7
2015-2016,England,76.284,3,8
2015-2016,Italy,70.439,4,6
2015-2016,Portugal,53.082,5,6
2015-2016,France,52.749,6,6
2015-2016,Russia,51.082,7,5
2015-2016,Ukraine,44.883,8,5
2015-2016,Belgium,40.0,9,5
2015-2016,Netherlands,35.563,10,6
2015-2016,Turkey,34.6,11,5
2015-2016,Switzerland,33.775,12,5
2015-2016,Czech Republic,32.925,13,5
2015-2016,Greece,29.7,14,5
2015-2016,Romania,25.383,15,4
2015-2016,Austria,25.1,16,5
2015-2016,Croatia,23.875,17,4
2015-2016,Poland,22.5,18,4
2015-2016,Cyprus,22.175,19,4
2015-2016,Belarus,20.0,20,4
2015-2016,Sweden,19.875,21,4
2015-2016,Norway,19.25,22,4
2015-2016,Israel,18.625,23,4
2015-2016,Denmark,18.6,24,4
2015-2016,Scotland,17.3,25,4
2015-2016,Azerbaijan,14.875,26,4
2015-2016,Serbia,14.625,27,4
2015-2016,Kazakhstan,14.125,28,4
2015-2016,Bulgaria,13.125,29,4
2015-2016,Slovenia,13.125,30,4
2015-2016,Slovakia,12.0,31,4
2015-2016,Liechtenstein,10.5,32,1
2015-2016,Hungary,9.875,33,4
2015-2016,Moldova,9.125,34,4
2015-2016,Iceland,8.75,35,4
2015-2016,Georgia,8.125,36,4
2015-2016,Finland,7.4,37,4
2015-2016,Bosnia-Herzegovina,7.125,38,4
2015-2016,Albania,6.625,39,4
2015-2016,North Macedonia,6.0,40,4
2015-2016,Ireland,5.45,41,5
2015-2016,Latvia,5.375,42,4
2015-2016,Luxembourg,5.25,43,4
2015-2016,Montenegro,4.875,44,4
2015-2016,Lithuania,4.625,45,4
2015-2016,Northern Ireland,4.5,46,4
2015-2016,Estonia,4.25,47,4
2015-2016,Armenia,4.125,48,4
2015-2016,Faroe Islands,3.625,49,4
2015-2016,Malta,3.583,50,4
2015-2016,Wales,3.5,51,4
2015-2016,Gibraltar,1.0,52,2
2015-2016,Andorra,0.999,53,3
2015-2016,San Marino,0.333,54,3
2016-2017,Spain,104.998,1,7
2016-2017,Germany,79.498,2,7
2016-2017,England,75.962,3,7
2016-2017,Italy,73.332,4,6
2016-2017,France,56.665,5,6
2016-2017,Russia,50.532,6,5
2016-2017,Portugal,49.332,7,6
2016-2017,Ukraine,42.633,8,5
2016-2017,Belgium,42.4,9,5
2016-2017,Turkey,39.2,10,5
2016-2017,Czech Republic,33.175,11,5
2016-2017,Switzerland,32.075,12,5
2016-2017,Netherlands,31.063,13,5
2016-2017,Greece,27.9,14,5
2016-2017,Austria,25.35,15,4
2016-2017,Croatia,25.25,16,4
2016-2017,Romania,24.35,17,5
2016-2017,Denmark,24.0,18,4
2016-2017,Belarus,19.875,19,4
2016-2017,Poland,19.75,20,4
2016-2017,Sweden,19.725,21,4
2016-2017,Israel,19.375,22,4
2016-2017,Scotland,18.925,23,4
2016-2017,Cyprus,18.55,24,4
2016-2017,Norway,18.325,25,4
2016-2017,Azerbaijan,17.75,26,4
2016-2017,Bulgaria,15.875,27,4
2016-2017,Serbia,15.375,28,4
2016-2017,Kazakhstan,15.25,29,4
2016-2017,Slovenia,13.125,30,4
2016-2017,Slovakia,11.75,31,4
2016-2017,Liechtenstein,11.0,32,1
2016-2017,Hungary,9.5,33,4
2016-2017,Moldova,9.5,34,4
2016-2017,Iceland,8.375,35,4
2016-2017,Finland,7.65,36,4
2016-2017,Albania,6.625,37,4
2016-2017,Ireland,6.575,38,4
2016-2017,Bosnia-Herzegovina,6.5,39,4
2016-2017,Georgia,6.375,40,4
2016-2017,Latvia,6.125,41,4
2016-2017,North Macedonia,5.625,42,4
2016-2017,Estonia,5.25,43,4
2016-2017,Montenegro,5.25,44,4
2016-2017,Armenia,5.125,45,4
2016-2017,Luxembourg,4.875,46,4
2016-2017,Northern Ireland,4.5,47,4
2016-2017,Lithuania,4.125,48,4
2016-2017,Malta,4.0,49,4
2016-2017,Wales,3.875,50,4
2016-2017,Faroe Islands,3.5,51,4
2016-2017,Gibraltar,2.5,52,2
2016-2017,Andorra,1.165,53,3
2016-2017,San Marino,0.333,54,3
2017-2018,Spain,106.998,1,7
2017-2018,England,79.605,2,7
2017-2018,Italy,76.249,3,6
2017-2018,Germany,71.427,4,7
2017-2018,France,56.415,5,6
2017-2018,Russia,53.382,6,5
2017-2018,Portugal,47.248,7,6
2017-2018,Ukraine,41.133,8,5
2017-2018,Belgium,38.5,9,5
2017-2018,Türkiye,35.8,10,5
2017-2018,Austria,32.85,11,4
2017-2018,Switzerland,30.2,12,5
2017-2018,Czechia,30.175,13,5
2017-2018,Netherlands,29.749,14,5
2017-2018,Greece,28.6,15,5
2017-2018,Croatia,26.0,16,4
2017-2018,Denmark,25.95,17,4
2017-2018,Israel,21.75,18,4
2017-2018,Cyprus,21.55,19,4
2017-2018,Romania,20.45,20,5
2017-2018,Poland,20.125,21,4
2017-2018,Sweden,19.975,22,4
2017-2018,Azerbaijan,19.125,23,4
2017-2018,Bulgaria,19.125,24,4
2017-2018,Serbia,18.75,25,4
2017-2018,Scotland,18.625,26,4
2017-2018,Belarus,18.625,27,4
2017-2018,Kazakhstan,18.125,28,4
2017-2018,Norway,17.425,29,4
2017-2018,Slovenia,14.5,30,4
2017-2018,Liechtenstein,13.0,31,1
2017-2018,Slovakia,12.125,32,4
