season,fase,instancia,fecha,hora_inicio,hora_fin,local,visitante,marcador,global,estadio,ciudad,pais,arbitro_principal,arbitros_linea,entrenador_local,entrenador_visitante,planteles,puntuaciones_jugadores,tiros_totales,tiros_totales_local,tiros_totales_visitante,tiros_puerta,tiros_puerta_local,tiros_puerta_visitante,goles,asistencias,cambios,amarillas,rojas,posesion_local,posesion_visitante,faltas_total,faltas_local,faltas_visitante,corners_total,corners_local,corners_visitante
2010-2011,Octavos,Ida,23-02-2011,NULL,NULL,Marseille,Manchester United,0-0,1-2,Velodrome,Marseille,Francia,NULL,NULL,Didier Deschamps,Alex Ferguson,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,15-03-2011,NULL,NULL,Manchester United,Marseille,2-1,2-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Didier Deschamps,NULL,NULL,,,,,,,Chicharito 5'; 75'; Brown OG 82',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,22-02-2011,NULL,NULL,Copenhagen,Chelsea,0-2,0-2,Parken Stadium,Copenhague,Dinamarca,NULL,NULL,Stale Solbakken,Carlo Ancelotti,NULL,NULL,,,,,,,Anelka 17'; 54',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,16-03-2011,NULL,NULL,Chelsea,Copenhagen,0-0,2-0,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Carlo Ancelotti,Stale Solbakken,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Ida,23-02-2011,NULL,NULL,Lyon,Real Madrid,1-1,1-4,Stade Gerland,Lyon,Francia,NULL,NULL,Claude Puel,Jose Mourinho,NULL,NULL,,,,,,,Gomis 47'; Benzema 65',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Octavos,Vuelta,16-03-2011,NULL,NULL,Real Madrid,Lyon,3-0,4-1,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Claude Puel,NULL,NULL,,,,,,,Marcelo 37'; Benzema 66'; Di Maria 76',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,05-04-2011,NULL,NULL,Real Madrid,Tottenham,4-0,5-0,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Harry Redknapp,NULL,NULL,,,,,,,Adebayor 4'; 57'; Di Maria 72'; Ronaldo 87',,NULL,NULL,Crouch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,13-04-2011,NULL,NULL,Tottenham,Real Madrid,0-1,0-5,White Hart Lane,Londres,Inglaterra,NULL,NULL,Harry Redknapp,Jose Mourinho,NULL,NULL,,,,,,,Ronaldo 50',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,05-04-2011,NULL,NULL,Inter,Schalke 04,2-5,3-7,San Siro,Milan,Italia,NULL,NULL,Leonardo,Ralf Rangnick,NULL,NULL,,,,,,,Stankovic 1'; Milito 34'; Matip 17'; Edu 40'; Raul 53'; Ranocchia OG 57'; Edu 75',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,13-04-2011,NULL,NULL,Schalke 04,Inter,2-1,7-3,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Ralf Rangnick,Leonardo,NULL,NULL,,,,,,,Raul 45'; Howedes 81'; Motta 49',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,06-04-2011,NULL,NULL,Barcelona,Shakhtar,5-1,6-1,Camp Nou,Barcelona,España,NULL,NULL,Pep Guardiola,Mircea Lucescu,NULL,NULL,,,,,,,Iniesta 2'; Alves 34'; Pique 53'; Keita 60'; Xavi 86'; Rakitskiy 59',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,12-04-2011,NULL,NULL,Shakhtar,Barcelona,0-1,1-6,Donbass Arena,Donetsk,Ucrania,NULL,NULL,Mircea Lucescu,Pep Guardiola,NULL,NULL,,,,,,,Messi 43',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Ida,06-04-2011,NULL,NULL,Chelsea,Manchester United,0-1,1-3,Stamford Bridge,Londres,Inglaterra,NULL,NULL,Carlo Ancelotti,Alex Ferguson,NULL,NULL,,,,,,,Rooney 24',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Cuartos,Vuelta,12-04-2011,NULL,NULL,Manchester United,Chelsea,2-1,3-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Carlo Ancelotti,NULL,NULL,,,,,,,Chicharito 43'; Park 77'; Drogba 77',,NULL,NULL,Ramires,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Ida,26-04-2011,NULL,NULL,Real Madrid,Barcelona,0-2,1-3,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Pep Guardiola,NULL,NULL,,,,,,,Messi 76'; 87',,NULL,NULL,Pepe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Vuelta,03-05-2011,NULL,NULL,Barcelona,Real Madrid,1-1,3-1,Camp Nou,Barcelona,España,NULL,NULL,Pep Guardiola,Jose Mourinho,NULL,NULL,,,,,,,Pedro 54'; Marcelo 64',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Ida,26-04-2011,NULL,NULL,Schalke 04,Manchester United,0-2,1-6,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Ralf Rangnick,Alex Ferguson,NULL,NULL,,,,,,,Giggs 67'; Rooney 69',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Semifinal,Vuelta,04-05-2011,NULL,NULL,Manchester United,Schalke 04,4-1,6-1,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Ralf Rangnick,NULL,NULL,,,,,,,Valencia 26'; Gibson 31'; Anderson 72'; 76'; Jurado 35',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010-2011,Final,Final,28-05-2011,NULL,NULL,Barcelona,Manchester United,3-1,NULL,Wembley,Londres,Inglaterra,NULL,NULL,Pep Guardiola,Alex Ferguson,NULL,NULL,,,,,,,Pedro 27'; Messi 54'; Villa 69'; Rooney 34',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,14-02-2012,NULL,NULL,Bayer Leverkusen,Barcelona,1-3,2-10,BayArena,Leverkusen,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Kadlec 52'; Messi 41'; 88'; Alexis 55',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,07-03-2012,NULL,NULL,Barcelona,Bayer Leverkusen,7-1,10-2,Camp Nou,Barcelona,España,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Messi 25'; 42'; 49'; 58'; 85'; Tello 55'; 62'; Bellarabi 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,15-02-2012,NULL,NULL,AC Milan,Arsenal,4-0,4-3,San Siro,Milán,Italia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Boateng 15'; Robinho 38'; 49'; Ibrahimovic 79',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,06-03-2012,NULL,NULL,Arsenal,AC Milan,3-0,3-4,Emirates Stadium,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Koscielny 7'; Rosicky 26'; Van Persie 43',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,14-02-2012,NULL,NULL,Lyon,APOEL,1-0,1-1,Stade Gerland,Lyon,Francia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Lacazette 58',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,07-03-2012,NULL,NULL,APOEL,Lyon,1-0,1-1,GSP Stadium,Nicosia,Chipre,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Manduca 9',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,15-02-2012,NULL,NULL,Zenit,Benfica,3-2,3-4,Petrovsky Stadium,San Petersburgo,Rusia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Shirokov 27'; 71'; Semak 88'; Pereira 20'; Cardozo 87',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,06-03-2012,NULL,NULL,Benfica,Zenit,2-0,4-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Pereira 45'; Nelson Oliveira 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,21-02-2012,NULL,NULL,CSKA Moscow,Real Madrid,1-1,2-5,Luzhniki Stadium,Moscú,Rusia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Wernbloom 90'; Ronaldo 28',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,14-03-2012,NULL,NULL,Real Madrid,CSKA Moscow,4-1,5-2,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Higuain 26'; Ronaldo 55'; 90'; Benzema 70'; Tosic 77',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,21-02-2012,NULL,NULL,Napoli,Chelsea,3-1,4-5,Stadio San Paolo,Napoles,Italia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Lavezzi 38'; 65'; Cavani 45'; Mata 27',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,14-03-2012,NULL,NULL,Chelsea,Napoli,4-1,5-4,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Drogba 28'; Terry 47'; Lampard 75'; Ivanovic 105'; Inler 55',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,22-02-2012,NULL,NULL,Marseille,Inter,1-0,2-2,Stade Velodrome,Marseille,Francia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Ayew 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,13-03-2012,NULL,NULL,Inter,Marseille,2-1,2-2,San Siro,Milán,Italia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Milito 75'; 90'; Brandao 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Ida,22-02-2012,NULL,NULL,Basel,Bayern Munich,1-0,1-7,St. Jakob-Park,Basilea,Suiza,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Stocker 86',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Octavos,Vuelta,13-03-2012,NULL,NULL,Bayern Munich,Basel,7-0,7-1,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Gomez 23'; 42'; 50'; 61'; 67'; Robben 11'; Muller 81',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,27-03-2012,NULL,NULL,APOEL,Real Madrid,0-3,2-8,GSP Stadium,Nicosia,Chipre,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Benzema 74'; Kaka 82'; Benzema 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Vuelta,04-04-2012,NULL,NULL,Real Madrid,APOEL,5-2,8-2,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Ronaldo 26'; 49'; Kaka 37'; Callejon 80'; Di Maria 83'; Manduca 67'; Solari 75',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,27-03-2012,NULL,NULL,Benfica,Chelsea,0-1,1-3,Estadio da Luz,Lisboa,Portugal,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Kalou 75',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Vuelta,04-04-2012,NULL,NULL,Chelsea,Benfica,2-1,3-1,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Lampard 21'; Meireles 90'; Javi Garcia 85',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,28-03-2012,NULL,NULL,AC Milan,Barcelona,0-0,1-3,San Siro,Milán,Italia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Vuelta,03-04-2012,NULL,NULL,Barcelona,AC Milan,3-1,3-1,Camp Nou,Barcelona,España,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Messi 11'; 41'; Iniesta 53'; Nocerino 32',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Ida,28-03-2012,NULL,NULL,Marseille,Bayern Munich,0-2,0-4,Stade Velodrome,Marseille,Francia,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Gomez 44'; Robben 69',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Cuartos,Vuelta,03-04-2012,NULL,NULL,Bayern Munich,Marseille,2-0,4-0,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Olic 13'; 37',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Semifinal,Ida,17-04-2012,NULL,NULL,Bayern Munich,Real Madrid,2-1,3-3,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Ribery 17'; Gomez 90'; Ozil 53',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Semifinal,Vuelta,25-04-2012,NULL,NULL,Real Madrid,Bayern Munich,2-1,3-3,Santiago Bernabeu,Madrid,España,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Ronaldo 6'; 14'; Robben 27',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Semifinal,Ida,18-04-2012,NULL,NULL,Chelsea,Barcelona,1-0,3-2,Stamford Bridge,Londres,Inglaterra,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Drogba 45',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Semifinal,Vuelta,24-04-2012,NULL,NULL,Barcelona,Chelsea,2-2,2-3,Camp Nou,Barcelona,España,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Busquets 35'; Iniesta 43'; Ramires 45'; Torres 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011-2012,Final,Final,19-05-2012,NULL,NULL,Bayern Munich,Chelsea,1-1,NULL,Allianz Arena,Munich,Alemania,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,Muller 83'; Drogba 88',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,12-02-2013,NULL,NULL,Celtic,Juventus,0-3,0-5,Celtic Park,Glasgow,Escocia,NULL,NULL,Neil Lennon,Antonio Conte,NULL,NULL,,,,,,,Matri 3'; Marchisio 77'; Vucinic 83',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,06-03-2013,NULL,NULL,Juventus,Celtic,2-0,5-0,Juventus Stadium,Turin,Italia,NULL,NULL,Antonio Conte,Neil Lennon,NULL,NULL,,,,,,,Matri 24'; Quagliarella 65',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,12-02-2013,NULL,NULL,Valencia,PSG,1-2,2-3,Mestalla,Valencia,España,NULL,NULL,Ernesto Valverde,Carlo Ancelotti,NULL,NULL,,,,,,,Rami 90'; Lavezzi 10'; Pastore 43',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,06-03-2013,NULL,NULL,PSG,Valencia,1-1,3-2,Parc des Princes,Paris,Francia,NULL,NULL,Carlo Ancelotti,Ernesto Valverde,NULL,NULL,,,,,,,Lavezzi 66'; Jonas 55',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,13-02-2013,NULL,NULL,Real Madrid,Manchester United,1-1,3-2,Santiago Bernabeu,Madrid,España,NULL,NULL,Jose Mourinho,Alex Ferguson,NULL,NULL,,,,,,,Ronaldo 30'; Welbeck 20',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,05-03-2013,NULL,NULL,Manchester United,Real Madrid,1-2,2-3,Old Trafford,Manchester,Inglaterra,NULL,NULL,Alex Ferguson,Jose Mourinho,NULL,NULL,,,,,,,Ramos OG 48'; Modric 66'; Ronaldo 69',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,13-02-2013,NULL,NULL,Shakhtar,Barcelona,2-2,2-4,Donbass Arena,Donetsk,Ucrania,NULL,NULL,Mircea Lucescu,Tito Vilanova,NULL,NULL,,,,,,,Teixeira 2'; Srna 59'; Sanchez 9'; Messi 60',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,12-03-2013,NULL,NULL,Barcelona,Shakhtar,2-1,4-3,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Mircea Lucescu,NULL,NULL,,,,,,,Messi 43'; Tello 68'; Rakitskiy 59',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,19-02-2013,NULL,NULL,Porto,Malaga,1-0,1-2,Estadio do Dragao,Porto,Portugal,NULL,NULL,Vitor Pereira,Manuel Pellegrini,NULL,NULL,,,,,,,Moutinho 56',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,13-03-2013,NULL,NULL,Malaga,Porto,2-0,2-1,La Rosaleda,Malaga,España,NULL,NULL,Manuel Pellegrini,Vitor Pereira,NULL,NULL,,,,,,,Isco 43'; Santa Cruz 77',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,19-02-2013,NULL,NULL,Arsenal,Bayern Munich,1-3,3-3,Emirates Stadium,Londres,Inglaterra,NULL,NULL,Arsene Wenger,Jupp Heynckes,NULL,NULL,,,,,,,Podolski 55'; Kroos 7'; Muller 21'; Mandzukic 77',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,13-03-2013,NULL,NULL,Bayern Munich,Arsenal,0-2,3-3,Allianz Arena,Munich,Alemania,NULL,NULL,Jupp Heynckes,Arsene Wenger,NULL,NULL,,,,,,,Giroud 3'; Koscielny 86',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,20-02-2013,NULL,NULL,AC Milan,Barcelona,2-0,2-4,San Siro,Milán,Italia,NULL,NULL,Massimiliano Allegri,Tito Vilanova,NULL,NULL,,,,,,,Boateng 57'; Muntari 81',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,12-03-2013,NULL,NULL,Barcelona,AC Milan,4-0,4-2,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Massimiliano Allegri,NULL,NULL,,,,,,,Messi 5'; 40'; Villa 55'; Alba 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Ida,20-02-2013,NULL,NULL,Galatasaray,Schalke 04,1-1,3-4,Turk Telekom Arena,Estambul,Turquia,NULL,NULL,Fatih Terim,Jens Keller,NULL,NULL,,,,,,,Yilmaz 12'; Jones 45',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Octavos,Vuelta,12-03-2013,NULL,NULL,Schalke 04,Galatasaray,2-3,4-3,Veltins-Arena,Gelsenkirchen,Alemania,NULL,NULL,Jens Keller,Fatih Terim,NULL,NULL,,,,,,,Neustadter 17'; Bastos 63'; Altintop 37'; Yilmaz 42'; Bulut 90',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Cuartos,Ida,02-04-2013,NULL,NULL,PSG,Barcelona,2-2,3-3,Parc des Princes,Paris,Francia,NULL,NULL,Carlo Ancelotti,Tito Vilanova,NULL,NULL,,,,,,,Ibrahimovic 79'; Matuidi 90'; Messi 38'; Xavi 89',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012-2013,Cuartos,Vuelta,10-04-2013,NULL,NULL,Barcelona,PSG,1-1,3-3,Camp Nou,Barcelona,España,NULL,NULL,Tito Vilanova,Carlo Ancelotti,NULL,NULL,,,,,,,Pedro 71'; Pastore 50',,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
